1788798600000,78798.1,78916,78796.3,78896.1,216.189
1788798900000,78896.1,78996,78891.5,78980.6,128.862
1788799200000,78980.6,78996,78953.1,78969.7,67.212
1788799500000,78969.7,78985.9,78924.1,78945.9,56.984
1788799800000,78945.9,78983.9,78932.9,78965.8,42.919
1788800100000,78965.8,78997.9,78933.6,78992.3,80.344
1788800400000,78992.3,79000,78971.8,78990.2,43.550
1788800700000,78990.2,79069,78990.1,79056.8,162.682
1788801000000,79056.8,79132,79056.7,79119.6,241.700
1788801300000,79119.6,79119.9,79077.6,79114.1,81.219
1788801600000,79114.1,79129.7,79048.1,79084.7,141.860
1788801900000,79084.7,79124,79058.5,79088.8,82.836
1788802200000,79088.8,79092.9,79040,79055,29.176
1788802500000,79055,79109.4,79028.1,79095.3,60.382
1788802800000,79095.3,79141.9,79092.8,79118.4,36.845
1788803100000,79118.4,79147.6,79109.2,79135.3,45.725
1788803400000,79135.3,79199.5,79135.3,79136.6,145.670
1788803700000,79136.6,79162.7,79136.5,79162.7,61.946
1788804000000,79162.7,79184,79136.5,79142.5,41.115
1788804300000,79142.5,79181.8,79100.7,79147.8,105.028
1788804600000,79147.8,79174.3,79130.1,79138.9,28.882
1788804900000,79138.9,79163.3,79120.3,79162.9,55.381
1788805200000,79162.9,79163,79080,79116.4,65.087
1788805500000,79116.4,79139,79086.9,79108.8,36.516
1788805800000,79108.8,79108.8,79051.5,79073.9,100.900
1788806100000,79073.9,79096.4,79054.6,79068.9,25.164
1788806400000,79068.9,79121.3,79068.9,79110.6,45.903
1788806700000,79110.6,79182.2,79084,79173.3,121.145
1788807000000,79173.3,79228.2,79154.8,79180.2,195.643
1788807300000,79180.2,79193.3,79133.4,79162.8,46.865
1788807600000,79162.8,79162.9,79105.5,79140.9,54.271
1788807900000,79140.9,79154,79112.7,79119.8,19.776
1788808200000,79119.8,79139.1,79116.6,79130.8,13.852
1788808500000,79130.8,79144.8,79124.9,79144.8,21.893
1788808800000,79144.8,79216.4,79144.8,79216.2,159.271
1788809100000,79216.2,79216.2,79177.1,79200.7,44.826
1788809400000,79200.7,79350,79200.7,79335.9,266.048
1788809700000,79335.9,79378.8,79304.7,79323.8,113.766
1788810000000,79323.8,79332,79290.7,79300.1,40.034
1788810300000,79300.1,79332,79300,79331.9,59.883
1788810600000,79331.9,79345.1,79317.2,79321.2,48.546
1788810900000,79321.2,79335.5,79302.3,79325,48.217
1788811200000,79325,79362,79280.5,79287.2,56.333
1788811500000,79287.2,79287.2,79175.9,79217.2,187.782
1788811800000,79217.2,79222.9,79176.6,79203.8,69.756
1788812100000,79203.8,79234.7,79185.7,79229.5,37.892
1788812400000,79229.5,79229.5,79153.8,79178.4,58.977
1788812700000,79178.4,79186.3,79168.1,79182.1,12.668
1788813000000,79182.1,79209.9,79180,79190.2,57.554
1788813300000,79190.2,79200,79172.3,79187,20.364
1788813600000,79187,79196.7,79159.1,79159.1,39.883
1788813900000,79159.1,79200,79125,79199.2,118.733
1788814200000,79199.2,79226,79155.1,79174.6,75.845
1788814500000,79174.6,79213.7,79174.5,79200,22.937
1788814800000,79200,79227.9,79194.9,79194.9,26.473
1788815100000,79194.9,79195,79164.4,79164.4,18.181
1788815400000,79164.4,79235.3,79164.4,79235.3,62.099
1788815700000,79235.3,79249.9,79171.3,79216.6,77.674
1788816000000,79216.6,79228,79203.8,79221.3,48.397
1788816300000,79221.3,79228.6,79185.4,79194.7,13.631
1788816600000,79194.7,79201.7,79156.5,79180.5,16.567
1788816900000,79180.5,79180.5,79144.6,79180.2,19.441
1788817200000,79180.2,79197.6,79136.1,79149.2,52.818
1788817500000,79149.2,79183.7,79137.5,79140.7,30.084
1788817800000,79140.7,79178.2,79122.9,79146.7,28.533
1788818100000,79146.7,79179,79122.3,79122.3,20.001
1788818400000,79122.3,79160,79028.5,79154.7,107.778
1788818700000,79154.7,79177.7,79104.1,79166.2,48.558
1788819000000,79166.2,79179,79101,79118.7,51.466
1788819300000,79118.7,79118.8,79000,79030.6,168.010
1788819600000,79030.6,79152.1,78958.4,79149.2,227.743
1788819900000,79149.2,79170.1,79062.1,79062.1,150.905
1788820200000,79062.1,79062.5,79010,79021.1,56.497
1788820500000,79021.1,79043.7,78802.6,78837.6,350.437
1788820800000,78837.6,78849.9,78731.2,78786.4,323.091
1788821100000,78786.4,78930.3,78786.4,78922.2,127.887
1788821400000,78922.2,78933.7,78893.6,78903,64.780
1788821700000,78903,78929.1,78843.6,78912.2,51.608
1788822000000,78912.2,78982.3,78880.9,78931.9,79.560
1788822300000,78931.9,79142.5,78918.5,79083.4,250.488
1788822600000,79083.4,79117.4,79059.3,79098,88.146
1788822900000,79098,79108,79005.8,79078.3,158.590
1788823200000,79078.3,79078.3,78919.1,78954.3,55.133
1788823500000,78954.3,79006.2,78954.3,78974.9,23.717
1788823800000,78974.9,78994.6,78939.9,78963,28.859
1788824100000,78963,79010.9,78962.2,79004.2,31.513
1788824400000,79004.2,79091,79004.2,79090.9,69.324
1788824700000,79090.9,79179,79064.4,79162,114.577
1788825000000,79162,79169,79108.6,79108.7,77.093
1788825300000,79108.7,79125.1,79071.9,79072.5,85.516
1788825600000,79072.5,79092,78971,79013.6,166.220
1788825900000,79013.6,79072.6,78970.8,79010.8,150.993
1788826200000,79010.8,79031.8,78932.1,79015.8,175.399
1788826500000,79015.8,79121.7,78978.1,79012.6,167.715
1788826800000,79012.6,79038.3,78928.2,79001.4,155.088
1788827100000,79001.4,79044.5,78961.6,78965.8,48.922
1788827400000,78965.8,79135.4,78935.5,79135.4,127.894
1788827700000,79135.4,79215.8,79132,79182.1,110.598
1788828000000,79182.1,79244.9,79154.9,79184.4,76.532
1788828300000,79184.4,79243.4,79161.5,79243.4,54.861
1788828600000,79243.4,79292.8,79215.9,79216.9,150.528
1788828900000,79216.9,79293.3,79216.9,79278.8,185.619
1788829200000,79278.8,79287.9,79244.7,79270.3,133.879
1788829500000,79270.3,79324.6,79225.7,79306.8,191.152
1788829800000,79306.8,79342,79254.9,79258,126.921
1788830100000,79258,79320.6,79231,79299.9,138.306
1788830400000,79299.9,79435.9,79272.6,79340.8,212.833
1788830700000,79340.8,79407.9,79330.7,79363.8,103.639
1788831000000,79363.8,79363.8,79285.5,79297.3,76.124
1788831300000,79297.3,79338.9,79284,79294,119.927
1788831600000,79294,79306.9,79269,79292.8,29.627
1788831900000,79292.8,79335.2,79268,79335.2,41.249
1788832200000,79335.2,79356,79295,79356,25.578
1788832500000,79356,79424.3,79335.1,79406,57.506
1788832800000,79406,79412.9,79340,79352.1,78.829
1788833100000,79352.1,79352.1,79294,79299.3,38.386
1788833400000,79299.3,79309.5,79214.7,79300.1,121.039
1788833700000,79300.1,79317.7,79239.7,79283,53.561
